"Player","Pos","Team","Games","Snaps","Snaps/Gm","Snap %","Rush %","Tgt %","Touch %","Util %","Fantasy Pts","Pts/100 Snaps"
"Treylon Burks","WR","WAS","7","245","35","58","0","7","3","7","17.8","7.3"
"Mitch Tinsley","WR","CIN","8","215","27","39","0","9","3","9","15.4","7.2"
"Tre Tucker","WR","LV","9","500","56","97","1","9","6","10","35.5","7.1"
"Michael Mayer","TE","LV","7","248","35","59","0","12","8","12","17.4","7.0"
"Christian Kirk","WR","HOU","9","275","31","44","0","12","6","12","19.3","7.0"
"DeAndre Hopkins","WR","BAL","9","201","22","36","0","11","6","11","13.8","6.9"
"Ja'Tavion Sanders","TE","CAR","8","205","26","44","0","7","7","7","13.9","6.8"
"Luke Musgrave","TE","GB","9","293","33","53","0","8","6","8","19.8","6.8"
"Darnell Mooney","WR","ATL","9","482","54","84","0","8","4","8","32.5","6.7"
"Brevyn Spann-Ford","TE","DAL","8","164","21","28","0","4","2","4","10.6","6.5"
"Tucker Kraft","TE","GB","1","32","32","49","0","9","6","9","2.0","6.3"
"Cole Kmet","TE","CHI","9","414","46","65","0","6","5","7","25.9","6.3"
"Davis Allen","TE","LAR","9","340","38","56","0","6","5","6","20.9","6.1"
"Sterling Shepard","WR","TB","5","190","38","55","1","9","7","10","11.4","6.0"
"Ian Thomas","TE","LV","7","151","22","36","0","6","6","6","9.0","6.0"
"Isaiah Hodgins","WR","NYG","6","291","49","73","0","6","3","6","17.5","6.0"
"Mo Alie-Cox","TE","IND","8","181","23","36","0","6","3","6","10.5","5.8"
"Curtis Samuel","WR","BUF","3","79","26","42","0","6","5","6","4.6","5.8"
"Xavier Hutchinson","WR","HOU","9","297","33","48","1","8","5","9","16.9","5.7"
"Mason Taylor","TE","NYJ","5","226","45","78","0","10","7","10","12.7","5.6"
"Kyle Juszczyk","RB","SF","8","279","35","52","0","4","4","4","15.4","5.5"
"Adam Thielen","WR","PIT","8","176","22","36","0","10","6","10","9.6","5.5"
"Kendrick Bourne","WR","SF","8","231","29","43","0","6","4","6","12.2","5.3"
"Gabe Davis","WR","BUF","5","168","34","50","0","7","4","7","8.8","5.2"
"Cedric Tillman","WR","CLE","8","275","34","57","0","6","3","6","14.1","5.1"
"Elijah Higgins","TE","ARI","9","296","33","49","0","8","6","8","15.1","5.1"
"Rashod Bateman","WR","BAL","6","274","46","69","0","5","2","5","13.3","4.9"
"Elijah Moore","WR","BUF","3","69","23","35","1","9","7","10","3.3","4.8"
"Cade Otton","TE","TB","7","439","63","92","0","8","6","8","20.7","4.7"
"Max Brosmer","QB","MIN","3","135","45","81","4","0","45","45","6.3","4.7"
"Joshua Palmer","WR","BUF","5","157","31","49","0","9","4","9","6.8","4.3"
"Mitchell Evans","TE","CAR","8","186","23","40","1","6","5","7","7.7","4.1"
"Luke Schoonmaker","TE","DAL","8","184","23","32","0","5","3","5","7.1","3.9"
"Adam Trautman","TE","DEN","8","357","45","67","0","4","4","4","13.7","3.8"
"Jalin Hyatt","WR","NYG","2","48","24","34","0","10","4","10","1.8","3.8"
"Anthony Firkser","TE","DET","6","136","23","34","0","5","4","5","5.1","3.8"
"Mason Tipton","WR","NO","7","262","37","56","2","6","6","7","9.4","3.6"
"Eric Saubert","TE","SEA","3","82","27","42","0","4","1","4","2.9","3.5"
"Jalen Brooks","WR","ARI","4","92","23","38","0","7","3","7","3.1","3.4"
"Jalen Tolbert","WR","DAL","4","94","24","32","0","10","4","10","3.1","3.3"
"Julian Hill","TE","MIA","6","174","29","50","0","3","2","3","5.5","3.2"
"Jeremy Ruckert","TE","NYJ","8","262","33","54","0","7","5","7","8.3","3.2"
"Xavier Weaver","WR","ARI","6","210","35","52","0","6","3","6","6.7","3.2"
"Tommy Tremble","TE","CAR","8","264","33","57","0","4","2","4","8.1","3.1"
"Konata Mumpfield","WR","LAR","9","261","29","43","0","7","3","7","8.0","3.1"
"Johnny Mundt","TE","JAC","8","196","25","36","0","4","2","4","5.8","3.0"
"Jahan Dotson","WR","PHI","8","252","32","49","0","6","3","6","7.1","2.8"
"Brock Wright","TE","DET","4","171","43","66","0","8","4","8","4.8","2.8"
"Quintin Morris","TE","JAC","8","181","23","35","0","4","3","4","5.0","2.8"
"Noah Gray","TE","KC","7","185","26","42","0","6","4","6","5.0","2.7"
"Chris Moore","WR","WAS","6","159","27","43","0","4","2","4","4.3","2.7"
"Foster Moreau","TE","NO","7","184","26","39","0","4","3","4","5.0","2.7"
"Dont'e Thornton Jr.","WR","LV","7","162","23","40","0","6","3","6","4.1","2.5"
"Cade Stover","TE","HOU","7","194","28","41","2","5","6","7","4.8","2.5"
"Drew Sample","TE","CIN","8","302","38","54","0","3","3","3","6.8","2.3"
"Nick Westbrook-Ikhine","WR","MIA","6","136","23","39","0","4","2","4","2.9","2.1"
"Daniel Bellinger","TE","NYG","7","262","37","56","0","5","2","5","5.4","2.1"
"John FitzPatrick","TE","GB","8","224","28","44","0","4","3","4","4.8","2.1"
"Moliki Matavao","TE","NO","2","48","24","36","0","4","4","4","1.0","2.1"
"Tucker Fisk","TE","LAC","4","91","23","36","0","2","2","2","1.9","2.1"
"John Bates","TE","WAS","8","274","34","56","0","4","2","4","5.4","2.0"
"JuJu Smith-Schuster","WR","KC","8","240","30","48","0","6","3","6","4.3","1.8"
"Charlie Woerner","TE","ATL","9","315","35","55","0","2","2","2","5.3","1.7"
"Shane Zylstra","TE","DET","3","128","43","63","0","4","2","4","2.0","1.6"
"Andre Baccellia","WR","ARI","4","92","23","32","0","4","2","4","0.8","0.9"
"Hunter Long","TE","JAC","2","73","37","51","0","4","1","4","0.6","0.8"
"Grant Calcaterra","TE","PHI","8","178","22","34","0","2","2","2","1.5","0.8"
"Ray-Ray McCloud III","WR","NYG","2","72","36","55","0","1","1","1","0.5","0.7"
"Payne Durham","TE","TB","8","168","21","31","0","1","1","1","1.1","0.7"
"Patrick Ricard","RB","BAL","9","234","26","42","0","0","0","1","0.3","0.1"
"Tanner Conner","TE","MIA","1","29","29","45","0","3","0","3","0.0","0.0"
"Jamari Thrash","WR","CLE","1","22","22","30","0","5","0","5","0.0","0.0"
"Zay Jones","WR","ARI","2","46","23","32","0","2","0","2","0.0","0.0"
""
""
